上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:104/09/03
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後賣價,發行股數 ,次日漲停價 ,次日跌停價
"3310","佳穎","14.15","+ 0.30 ","14.15","14.15","13.90","24,000","334,600","8","14.10","14.15","111,691,710","15.55","12.75"
"3313","斐成","6.10","0.00 ","6.05","6.13","6.00","61,000","368,490","26","6.10","6.11","83,770,776","6.71","5.49"
"3317","尼克森","9.88","+ 0.24 ","9.64","9.90","9.56","112,000","1,094,690","69","9.79","9.88","61,251,550","10.85","8.90"
"3322","建舜電","6.76","除權息 ","6.94","6.94","6.63","187,000","1,268,050","74","6.76","6.85","86,415,616","7.43","6.09"
"3323","加百裕","16.95","+ 0.15 ","16.80","17.15","16.80","81,000","1,377,650","43","16.95","17.00","94,989,914","18.60","15.30"
"3324","雙鴻","17.00","+ 0.10 ","17.00","17.10","16.90","153,000","2,600,000","57","16.95","17.00","71,136,245","18.70","15.30"
"3325","旭品","11.65","+ 0.25 ","11.55","11.80","11.55","189,000","2,211,850","88","11.65","11.70","77,134,579","12.80","10.50"
"3332","幸康","38.25","+ 0.65 ","38.10","38.25","37.75","6,000","227,700","4","37.75","38.30","48,104,246","42.05","34.45"
"3339","泰谷","4.37","+ 0.39 ","4.02","4.37","4.01","390,000","1,661,850","92","4.37","0.00","275,304,842","4.80","3.94"
"3354","律勝","8.59","+ 0.42 ","8.18","8.80","8.18","37,000","315,150","23","8.36","8.55","82,485,206","9.44","7.74"
"3360","尚立","12.25","+ 0.25 ","12.10","12.30","12.10","135,000","1,647,050","78","12.10","12.25","75,456,054","13.45","11.05"
"3362","先進光","16.70","除息 ","17.20","17.20","16.25","35,000","585,100","26","16.70","16.80","93,378,000","18.35","15.05"
"3363","上詮","26.95","- 0.25 ","27.00","27.15","26.75","206,000","5,562,600","51","26.80","26.95","76,599,145","29.60","24.30"
"3372","典範","7.15","+ 0.17 ","7.08","7.18","6.95","463,000","3,275,330","114","7.14","7.15","409,860,000","7.86","6.44"
"3373","熱映","17.90","+ 0.15 ","17.90","18.10","17.75","242,000","4,331,100","123","17.90","17.95","43,289,801","19.65","16.15"
"3374","精材","33.35","+ 0.40 ","33.10","34.40","32.80","1,290,000","43,385,350","828","33.35","33.45","268,670,106","36.65","30.05"
"3379","彬台","12.50","+ 0.35 ","12.15","12.50","12.15","9,000","110,650","9","12.30","12.45","38,041,748","13.75","11.25"
"3388","崇越電","59.30","+ 0.30 ","59.20","59.50","57.50","30,000","1,774,000","25","59.00","59.60","64,375,000","65.20","53.40"
"3390","旭軟","17.30","0.00 ","17.40","17.40","17.20","173,000","2,988,250","69","17.15","17.40","65,845,059","19.00","15.60"
"3402","漢科","12.90","0.00 ","12.90","12.95","12.50","288,000","3,690,600","97","12.85","12.90","73,047,692","14.15","11.65"
"3428","光燿科","56.50","+ 1.50 ","55.80","57.80","55.20","2,241,000","126,881,000","1,391","56.50","56.60","95,123,000","62.10","50.90"
"3431","長天","9.10","+ 0.39 ","8.80","9.12","8.80","147,000","1,330,520","73","9.00","9.10","35,458,704","10.00","8.19"
"3434","哲固","8.98","0.00 ","8.97","8.98","8.51","5,000","43,950","5","8.63","8.98","32,800,000","9.87","8.09"
"3438","類比科","18.00","+ 0.50 ","17.55","18.40","17.55","28,000","508,450","21","17.85","18.15","38,930,615","19.80","16.20"
"3441","聯一光","11.00","+ 0.05 ","11.00","11.20","10.85","140,000","1,548,700","54","11.00","11.10","40,039,920","12.10","9.90"
"3444","利機","15.10","+ 0.15 ","14.90","15.10","14.90","26,000","389,800","10","14.95","15.10","39,114,586","16.60","13.60"
"3452","益通","9.51","+ 0.04 ","9.47","9.64","9.34","1,479,000","14,047,890","609","9.50","9.51","779,449,742","10.45","8.56"
"3455","由田","23.05","+ 0.55 ","22.55","23.45","22.40","1,019,000","23,500,150","530","23.05","23.10","61,108,750","25.35","20.75"
"3465","祥業"," ----","--- ","----","----","----","0","0","0","0.00","14.00","26,320,669","14.05","11.55"
"3466","致振","27.65","0.00 ","27.35","27.65","27.00","10,000","274,500","8","27.50","27.65","60,887,573","30.40","24.90"
"3479","安勤","36.30","+ 0.90 ","35.50","36.35","35.50","89,000","3,189,850","68","36.05","36.30","68,333,164","39.90","32.70"
"3483","力致","10.30","+ 0.15 ","10.05","10.35","10.05","110,000","1,126,550","47","10.25","10.30","48,960,000","11.30","9.27"
"3484","崧騰","31.70","+ 2.85 ","29.00","31.70","29.00","1,052,000","32,470,150","501","31.70","0.00","64,560,034","34.85","28.55"
"3489","森寶","17.40","- 0.10 ","17.30","17.50","17.30","37,000","643,550","16","17.30","17.40","83,100,170","19.10","15.70"
"3490","單井","75.10","+ 0.20 ","76.20","76.90","74.90","1,646,000","124,753,400","1,259","75.10","75.20","62,341,847","82.60","67.60"
"3491","昇達科","60.90","+ 2.00 ","59.30","61.30","58.60","815,000","49,108,200","562","60.50","60.90","51,447,241","66.90","54.90"
"3492","長盛","18.35","- 0.15 ","18.65","18.65","18.35","118,000","2,179,250","78","18.35","18.40","35,531,600","20.15","16.55"
"3498","陽程","56.00","+ 5.00 ","51.70","56.10","51.70","2,490,000","136,284,700","1,584","55.90","56.00","77,481,566","61.60","50.40"
"3499","環天科","18.00","+ 0.40 ","18.75","18.80","17.85","3,452,000","63,146,450","1,602","17.95","18.00","57,169,596","19.80","16.20"
"3508","位速","10.25","+ 0.92 ","9.48","10.25","9.48","365,000","3,677,330","194","10.25","0.00","92,837,737","11.25","9.23"
"3511","矽瑪","43.70","+ 2.20 ","42.15","43.70","41.30","2,278,000","96,389,350","1,519","43.70","43.75","38,972,945","48.05","39.35"
"3512","能緹","29.90","- 0.80 ","30.70","30.70","29.90","24,000","723,500","19","29.95","30.40","59,000,000","32.85","26.95"
